/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:33Z","tsi":1535955753,"spd":0.40,"hdg":294,"lat":60.183734,"long":24.923809,"acc":-0.14,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:35Z","tsi":1535955755,"spd":0.30,"hdg":294,"lat":60.183738,"long":24.923811,"acc":0.11,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:34Z","tsi":1535955754,"spd":0.19,"hdg":294,"lat":60.183736,"long":24.923810,"acc":-0.21,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:36Z","tsi":1535955756,"spd":0.28,"hdg":294,"lat":60.183741,"long":24.923813,"acc":-0.02,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:31Z","tsi":1535955751,"spd":0.66,"hdg":294,"lat":60.183726,"long":24.923809,"acc":-0.29,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:37Z","tsi":1535955757,"spd":0.28,"hdg":294,"lat":60.183741,"long":24.923813,"acc":-0.02,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:32Z","tsi":1535955752,"spd":0.55,"hdg":294,"lat":60.183730,"long":24.923810,"acc":-0.12,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:33Z","tsi":1535955753,"spd":0.40,"hdg":294,"lat":60.183734,"long":24.923809,"acc":-0.14,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:38Z","tsi":1535955758,"spd":0.27,"hdg":294,"lat":60.183745,"long":24.923816,"acc":0.06,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

